"","AREA","PERIMETER","GAGE_ID","no_snow","snow","percentageFire","fire_year","Incid_Name","burn_type","EPA_L1","data"
"2",40338900,35400,"05014300",0.03,0.97,0,NA,NA,"unburned","6",FALSE
"21",103114000,60457.1,"06036805",0,1,0,NA,NA,"unburned","6",FALSE
"3",676889000,222240,"06036905",0,1,0.86,2012,"CYGNET","unburned","6",TRUE
"4",322765000,150060,"06037100",0,1,2.08,2012,"CYGNET","unburned","6",FALSE
"5",1126250000,317160,"06037500",0,1,1.12,2012,"CYGNET","unburned","6",TRUE
"6",2120420000,406140,"06043500",0,1,1.69,2012,"MILLIE","unburned","6",TRUE
"7",834577000,251640,"06073500",0.38,0.62,6.88,2017,"ALICE CREEK","burned","6",TRUE
"8",669987000,169920,"06078500",0.03,0.97,8.28,2013,"RED SHALE","burned","6",FALSE
"9",651090000,194400,"06079000",0,1,24.82,2007,"AHORN","burned","6",FALSE
"10",918761000,203760,"06090500",0.05,0.95,0.8,2001,"LOST FORK-MONARCH COMPLEX (MONARCH)","unburned","6",FALSE
"12",286658000,115980,"06102500",0.04,0.96,20,2007,"FOOL CREEK","burned","6",FALSE
"15",63540900,48000,"06137400",0,1,0,NA,NA,"unburned","6",FALSE
"16",125272000,79440,"06137570",0.48,0.52,0,NA,NA,"unburned","6",FALSE
"17",33405300,35760,"06154410",0,1,0.01,2017,"JULY","unburned","6",TRUE
"20",73077100,37338.2,"06187915",0,1,0,NA,NA,"unburned","6",TRUE
"211",261219000,111900,"06187950",0,1,0,NA,NA,"unburned","6",FALSE
"22",1730280000,326280,"06188000",0,1,3.16,2016,"BUFFALO","unburned","6",TRUE
"23",511554000,164460,"06190540",0,1,0.45,2016,"FAWN","unburned","6",TRUE
"24",513885000,165540,"06191000",0,1,0.45,2016,"FAWN","unburned","6",TRUE
"25",6783590000,615835,"06191500",0.06,0.94,0.98,2003,"EAST","unburned","6",TRUE
"28",272676000,99060,"06209500",0.01,0.99,1.21,2000,"WILLIE","unburned","6",TRUE
"29",227880000,106740,"06221400",0.08,0.92,2.57,2001,"DINWOODY","unburned","6",TRUE
"30",78480900,64680,"06222700",0,1,0,NA,NA,"unburned","6",FALSE
"31",484858000,161940,"06224000",0.06,0.94,21.37,2012,"ALPINE LAKE","burned","6",TRUE
"32",230910000,111420,"06228350",0.04,0.96,11.89,2002,"SOUTH FORK II","burned","6",TRUE
"33",224090000,131040,"06260000",0.06,0.94,2.04,2000,"SPRING MNT","unburned","6",FALSE
"34",211072000,111660,"06265337",0.38,0.62,0,NA,NA,"unburned","10",FALSE
"36",58851000,53940,"06278300",0,1,0,NA,NA,"unburned","6",TRUE
"37",471269000,104798,"06289000",0.03,0.97,4.5,2003,"LITTLE HORN II","unburned","6",TRUE
"38",217956000,113100,"06291500",0.19,0.81,0,2003,"LITTLE HORN II","unburned","9",TRUE
"39",2071240000,351720,"06295250",0.63,0.37,18.08,2012,"CHALKY","burned","9",FALSE
"42",97485300,66480,"06299500",0.05,0.95,0,NA,NA,"unburned","6",FALSE
"43",50852700,42720,"06300500",0,1,0,NA,NA,"unburned","6",FALSE
"44",9122400,21120,"06301480",0,1,0,NA,NA,"unburned","6",FALSE
"45",117543000,66180,"06309200",0,1,0,NA,NA,"unburned","10",TRUE
"46",61231500,56460,"06311000",0,1,0,NA,NA,"unburned","6",TRUE
"49",402497000,145200,"06344600",0.74,0.26,0,NA,NA,"unburned","9",TRUE
"51",26360100,35760,"06392900",0,1,0,NA,NA,"unburned","6",TRUE
"52",20795400,27840,"06408700",0,1,0,NA,NA,"unburned","6",TRUE
"53",205329000,83670.8,"06409000",0,1,0.13,2000,"JASPER","unburned","6",TRUE
"54",243920000,103920,"06422500",0.22,0.78,0,NA,NA,"unburned","6",TRUE
"55",56514600,59700,"06424000",0,1,0,NA,NA,"unburned","6",TRUE
"56",57804300,49380,"06429500",0,1,0,NA,NA,"unburned","6",TRUE
"57",105598000,105720,"06430532",0.49,0.51,6.49,2016,"CROW PEAK","burned","6",TRUE
"58",71829000,68400,"06430850",0,1,0,NA,NA,"unburned","6",TRUE
"59",427105000,164160,"06431500",0.06,0.94,0,NA,NA,"unburned","6",TRUE
"60",4028400,11580,"06614800",0,1,0,NA,NA,"unburned","6",TRUE
"61",98702100,67320,"06622700",0,1,0,NA,NA,"unburned","6",TRUE
"62",187662000,100200,"06623800",0,1,5.73,2018,"RYAN","burned","6",TRUE
"63",23475600,31800,"06637750",0,1,0,NA,NA,"unburned","6",FALSE
"64",61906500,43260,"06696980",0,1,0,NA,NA,"unburned","6",FALSE
"66",113615000,60540,"06717400",0.28,0.72,0,NA,NA,"unburned","6",FALSE
"68",8904600,18120,"06746095",0,1,0,NA,NA,"unburned","6",TRUE
"69",60761400,40237.5,"07083000",0,1,0,NA,NA,"unburned","6",TRUE
"70",174146000,86880,"07086500",0.01,0.99,0,NA,NA,"unburned","6",FALSE
"71",159224000,95040,"07208500",0.5,0.5,1.57,2018,"MORRIS CREEK","unburned","6",TRUE
"75",6633000,17460,"08253500",0,1,0,NA,NA,"unburned","6",FALSE
"77",96257700,63900,"08267500",0.42,0.58,0,NA,NA,"unburned","6",TRUE
"78",163266000,77640,"08269000",0.67,0.33,3.94,2003,"ENCEBADO","unburned","6",TRUE
"79",43774200,42360,"08271000",0.28,0.72,0,NA,NA,"unburned","6",TRUE
"81",258001000,105660,"08277470",0.55,0.45,3.34,2018,"SARDINAS CANYON","unburned","6",TRUE
"82",78600600,58920,"08294195",0.73,0.27,48.05,2011,"PACHECO","burned","6",FALSE
"83",29696400,40620,"08302500",0.86,0.14,0,NA,NA,"unburned","6",TRUE
"84",35091000,44940,"08315480",0.88,0.12,0,NA,NA,"unburned","6",TRUE
"85",449247000,127860,"08321500",0.42,0.58,23.64,2011,"LAS CONCHAS","burned","6",FALSE
"86",1207950000,185511,"08324000",0.61,0.39,8.56,2011,"LAS CONCHAS","burned","6",TRUE
"87",139031000,82500,"08377900",0.57,0.43,9.19,2002,"TRAMPAS","burned","6",TRUE
"88",444959000,130620,"08378500",0.57,0.43,4.76,2013,"JAROSO","unburned","6",TRUE
"89",48973500,44400,"08386505",0.81,0.19,9.87,2012,"LITTLE BEAR","burned","13",TRUE
"90",15649200,22200,"09034900",0,1,0,NA,NA,"unburned","6",TRUE
"91",22943700,26700,"09035800",0,1,21.46,2018,"SUGARLOAF","burned","6",TRUE
"92",72842100,44473.9,"09035900",0,1,0,NA,NA,"unburned","6",TRUE
"94",23570100,28380,"09047700",0,1,0,NA,NA,"unburned","6",TRUE
"95",41014800,38820,"09052000",0,1,0,NA,NA,"unburned","6",FALSE
"96",22529700,30720,"09052400",0,1,0,NA,NA,"unburned","6",FALSE
"97",36543600,36360,"09052800",0.01,0.99,0,NA,NA,"unburned","6",FALSE
"98",33245100,45240,"09058500",0,1,0,NA,NA,"unburned","6",FALSE
"99",7606800,13680,"09058700",0,1,0,NA,NA,"unburned","6",FALSE
"100",9218700,20040,"09058800",0,1,0,NA,NA,"unburned","6",FALSE
"102",24902100,26220,"09063200",0,1,0,NA,NA,"unburned","6",TRUE
"103",61752600,42420,"09063400",0,1,0,NA,NA,"unburned","6",TRUE
"104",37775700,36000,"09065500",0,1,0,NA,NA,"unburned","6",TRUE
"105",32409900,35880,"09066000",0,1,0,NA,NA,"unburned","6",TRUE
"106",11842200,21000,"09066100",0,1,0,NA,NA,"unburned","6",TRUE
"107",13999500,24540,"09066150",0,1,0,NA,NA,"unburned","6",TRUE
"108",16096500,22620,"09066200",0,1,0,NA,NA,"unburned","6",TRUE
"109",15522300,24900,"09066300",0,1,0,NA,NA,"unburned","6",TRUE
"110",18978300,24300,"09066400",0,1,0,NA,NA,"unburned","6",TRUE
"112",82815300,49380,"09074800",0,1,0,NA,NA,"unburned","6",FALSE
"113",92059200,59160,"09075700",0,1,0,NA,NA,"unburned","6",FALSE
"114",432893000,161340,"09081600",0,1,0,NA,NA,"unburned","6",TRUE
"115",331616000,124620,"09107000",0,1,0,NA,NA,"unburned","6",TRUE
"116",125965000,67380,"09132940",0,1,0,NA,NA,"unburned","6",FALSE
"118",74302200,87360,"09183500",0.29,0.71,0.02,2008,"PORCUPINE RANCH","unburned","6",TRUE
"119",194881000,95820,"09196500",0.03,0.97,0.05,2008,"NEW FORK","unburned","6",TRUE
"120",216346000,114000,"09203000",0.01,0.99,0,NA,NA,"unburned","6",FALSE
"123",326817000,111000,"09217900",0,1,3.12,2002,"GARDEN VALLEY COMPLEX (EAST FORK)","unburned","6",TRUE
"125",333153000,118980,"09223000",0,1,5.14,2010,"POLE CREEK STANDS","burned","6",TRUE
"127",64014300,50280,"09235600",0,1,0,NA,NA,"unburned","6",FALSE
"128",173774000,91260,"09245000",0,1,0,NA,NA,"unburned","6",FALSE
"129",22811400,29700,"09268500",0,1,0,NA,NA,"unburned","6",FALSE
"130",19383300,27720,"09268900",0,1,0,NA,NA,"unburned","6",FALSE
"132",313725000,121440,"09278500",0.01,0.99,0.11,2018,"MURDOCK","unburned","6",FALSE
"134",145468000,67380,"09288150",0.01,0.99,0,NA,NA,"unburned","6",FALSE
"135",105130000,64140,"09288900",0.21,0.79,0,NA,NA,"unburned","10",FALSE
"137",56132100,43380,"09302450",0,1,0,NA,NA,"unburned","6",FALSE
"138",136793000,109200,"09303300",0,1,0,NA,NA,"unburned","6",FALSE
"139",398620000,175620,"09303500",0,1,5.22,2016,"LOST SOLAR","burned","6",FALSE
"140",459694000,153420,"09306007",0.01,0.99,0,NA,NA,"unburned","10",FALSE
"141",81985500,54300,"09306242",0.03,0.97,0,NA,NA,"unburned","10",TRUE
"143",82378800,59580,"09308500",0,1,3.75,2002,"GARDER CANYON","unburned","6",FALSE
"144",195295000,89580,"09312600",0,1,0.15,2018,"DOLLAR RIDGE","unburned","6",TRUE
"145",162547000,91020,"09312800",0,1,0,NA,NA,"unburned","6",FALSE
"146",63414000,50700,"09329050",0,1,2.61,2002,"JOHNSON","unburned","6",TRUE
"148",169851000,88680,"09339900",0.01,0.99,0,NA,NA,"unburned","6",FALSE
"150",188151000,76939.6,"09352900",0,1,3.25,2003,"BEAR CREEK WFU","unburned","6",TRUE
"151",7180200,15540,"09372400",0,1,0,NA,NA,"unburned","6",FALSE
"152",21897900,26580,"09378170",0.11,0.89,0,NA,NA,"unburned","6",TRUE
"153",10423800,24540,"09378630",0.35,0.65,0,NA,NA,"unburned","6",TRUE
"154",527709000,159000,"09378700",0.88,0.12,2.82,2002,"CANYONS COMPLEX (HAMMOND)","unburned","10",FALSE
"155",260837000,105180,"09403000",0.49,0.51,10.56,2000,"OUTLET","burned","13",FALSE
"156",192960000,93420,"09404450",0.65,0.35,14.12,2012,"SHINGLE","burned","10",TRUE
"158",73206900,51660,"09415460",0.22,0.78,0,NA,NA,"unburned","10",FALSE
"159",27376200,36300,"09415515",0.18,0.82,0,NA,NA,"unburned","10",FALSE
"160",24048000,26460,"09419610",0.17,0.83,0,NA,NA,"unburned","10",FALSE
"162",1628230000,301620,"09494000",0.82,0.18,1.47,2001,"LAMEDEER","unburned","13",TRUE
"163",131457000,67500,"10023000",0,1,0,NA,NA,"unburned","6",TRUE
"164",293106000,116880,"10041000",0,1,4.13,2010,"GIRAFFE CREEK","unburned","6",FALSE
"165",62954100,60000,"10058600",0,1,0,NA,NA,"unburned","6",FALSE
"166",77490900,60060,"10093000",0,1,0,NA,NA,"unburned","6",FALSE
"167",555595000,174660,"10109001",0.02,0.98,1.01,2016,"PETERSON HOLLOW","unburned","6",TRUE
"168",8137800,19140,"10143500",0.16,0.84,0,NA,NA,"unburned","6",FALSE
"169",50697900,42780,"10148200",0.01,0.99,55.91,2017,"TANK HOLLOW","burned","6",FALSE
"170",70173000,46680,"10166430",0.19,0.81,0,NA,NA,"unburned","10",TRUE
"171",18687100,20100.5,"10172200",0.12,0.88,0,NA,NA,"unburned","6",TRUE
"172",69929100,53160,"10172700",0.03,0.97,0,NA,NA,"unburned","10",TRUE
"173",11070900,21060,"10172800",0,1,2.95,2007,"BIG CREEK","unburned","10",TRUE
"174",74550600,77640,"10172860",0.79,0.21,0,NA,NA,"unburned","10",FALSE
"175",21303900,26820,"10172870",0.26,0.74,0,NA,NA,"unburned","10",TRUE
"176",22487400,27900,"10172875",0.35,0.65,0,NA,NA,"unburned","10",FALSE
"177",268528000,116460,"10173450",0.03,0.97,6.68,2017,"BRIANHEAD","burned","6",TRUE
"178",185189000,91020,"10183900",0,1,2.28,2009,"BRIDGE","unburned","6",FALSE
"179",134598000,71700,"10205030",0,1,0.37,2016,"PORCUPINE","unburned","6",TRUE
"180",30859200,38460,"10208500",0.01,0.99,0,NA,NA,"unburned","6",FALSE
"181",72364500,55860,"10219200",0.1,0.9,12.16,2014,"LEVAN","burned","6",FALSE
"182",14587200,24840,"10224100",0.01,0.99,100,2012,"CLAY SPRINGS","burned","10",FALSE
"183",236419000,100620,"10234500",0.14,0.86,5.25,2016,"BRIGGS","burned","6",TRUE
"185",34199100,43620,"10241470",0.23,0.77,72.41,2017,"BRIANHEAD","burned","6",FALSE
"186",62693100,51420,"10241600",0.26,0.74,0,NA,NA,"unburned","6",FALSE
"187",208686000,101160,"10242000",0.15,0.85,0,NA,NA,"unburned","6",TRUE
"188",28352700,31620,"10243260",0.26,0.74,0,NA,NA,"unburned","10",TRUE
"189",83455200,59400,"10243700",0.25,0.75,0,NA,NA,"unburned","10",TRUE
"190",28196100,30600,"10244950",0.07,0.93,0,NA,NA,"unburned","10",TRUE
"191",79256700,55860,"10245445",0.09,0.91,0,NA,NA,"unburned","10",FALSE
"192",31442400,31440,"10245900",0.01,0.99,0,NA,NA,"unburned","10",FALSE
"193",38816100,37800,"10245910",0.05,0.95,0,NA,NA,"unburned","10",FALSE
"194",33971400,33360,"10246846",0.25,0.75,15.44,2013,"WHITE PINE","burned","10",FALSE
"195",50195700,44580,"10249300",0.19,0.81,0,NA,NA,"unburned","10",TRUE
"197",43691400,45180,"10258000",0.79,0.21,28.59,2013,"MOUNTAIN","burned","11",TRUE
"199",113645000,75960,"10291500",0.02,0.98,0.21,2011,"BUCKEYE","unburned","6",FALSE
"200",162896000,92040,"10295500",0.05,0.95,3.49,2018,"BOOT","unburned","10",FALSE
"201",10815300,20880,"10308783",0,1,4.06,2015,"WASHINGTON","unburned","10",TRUE
"202",1504800,6600,"103087891",0,1,0,NA,NA,"unburned","10",FALSE
"203",39489300,39060,"10310500",0.53,0.47,0,NA,NA,"unburned","6",TRUE
"204",184198000,112260,"10313400",0.03,0.97,5.3,2012,"STUD","burned","10",FALSE
"205",64778400,48900,"10316500",0,1,37.93,2018,"RANGE TWO","burned","10",TRUE
"206",476618000,181200,"10321590",0.74,0.26,37.34,2006,"SUZIE","burned","10",TRUE
"207",454520000,148680,"10329500",0.6,0.4,55.41,2018,"MARTIN","burned","10",TRUE
"208",36880200,35460,"10336580",0,1,0,NA,NA,"unburned","6",FALSE
"209",85524300,63960,"10336600",0,1,0,NA,NA,"unburned","6",FALSE
"210",19598400,36180,"10336645",0,1,0,NA,NA,"unburned","6",TRUE
"2111",29796300,32700,"10336660",0,1,0,NA,NA,"unburned","6",TRUE
"212",12902400,18420,"10336674",0,1,0,NA,NA,"unburned","6",FALSE
"213",24716700,29700,"10336676",0,1,0,NA,NA,"unburned","6",TRUE
"214",8781300,16020,"103366993",0,1,0,NA,NA,"unburned","6",FALSE
"215",5535900,13680,"10336740",0,1,0,NA,NA,"unburned","6",TRUE
"216",1622700,8640,"103367592",0,1,0,NA,NA,"unburned","6",FALSE
"217",19081800,25860,"10336770",0,1,0,NA,NA,"unburned","6",FALSE
"218",27602700,23689.8,"10343500",0,1,0,NA,NA,"unburned","6",TRUE
"219",19138500,27120,"10348850",0.01,0.99,0,NA,NA,"unburned","6",TRUE
"221",52222500,53640,"10353600",0.37,0.63,99.68,2012,"HOLLOWAY","burned","10",FALSE
"223",34416900,32520,"10353750",0.19,0.81,36.37,2000,"MAHOGANY","burned","10",FALSE
"227",691764000,196440,"10384000",0.26,0.74,22.28,2018,"WATSON CREEK","burned","6",FALSE
"228",528894000,167820,"10396000",0.42,0.58,1.66,2011,"DESERT MEADOWS","unburned","10",TRUE
"230",51926400,41640,"11203580",0.79,0.21,0.04,2016,"SLATE","unburned","6",FALSE
"234",650169000,173100,"11226500",0.05,0.95,8.87,2018,"LIONS","burned","6",FALSE
"235",135530000,79320,"11230500",0.01,0.99,0,NA,NA,"unburned","6",TRUE
"236",59823900,51600,"11237500",0,1,0,NA,NA,"unburned","6",TRUE
"237",467976000,106311,"11264500",0.03,0.97,7.92,2001,"HOOVER COMPLEX (HOOVER)","burned","6",TRUE
"238",833082000,142522,"11266500",0.07,0.93,4.45,2001,"HOOVER COMPLEX (HOOVER)","unburned","6",TRUE
"239",775599000,205980,"11274790",0.06,0.94,0.61,2009,"WILDCAT","unburned","6",FALSE
"241",225216000,120420,"11281000",0.74,0.26,88.63,2013,"RIM","burned","6",FALSE
