"","AREA","PERIMETER","GAGE_ID","no_snow","snow","percentageFire","fire_year","Incid_Name","burn_type","EPA_L1","data"
"242",187349000,137100,"11282000",0.37,0.63,68.12,2013,"RIM","burned","6",FALSE
"243",375679000,141420,"11283500",0.45,0.55,47.8,2013,"RIM","burned","6",FALSE
"244",174756000,93240,"11292500",0.01,0.99,34.06,2018,"DONNELL","burned","6",FALSE
"245",54010800,54360,"11315000",0,1,1.11,2004,"POWER","unburned","6",TRUE
"246",312809000,119880,"11355500",0.3,0.7,17.17,2012,"READING","burned","6",FALSE
"247",79666200,70200,"11364300",0.63,0.37,0,NA,NA,"unburned","6",FALSE
"249",337630000,227760,"11381500",0.69,0.31,2.31,2012,"MILL","unburned","6",TRUE
"250",539775000,169588,"11383500",0.61,0.39,15.28,2008,"CUB COMPLEX (CUB)","burned","6",TRUE
"251",59702400,65220,"11409300",0.89,0.11,0,NA,NA,"unburned","6",FALSE
"253",25522200,33900,"11427700",0,1,39.65,2001,"STAR","burned","6",TRUE
"254",30006000,41400,"11431800",0.49,0.51,44.57,2014,"KING","burned","6",TRUE
"255",229716000,89940,"11433260",0.67,0.33,48.5,2013,"AMERICAN","burned","6",FALSE
"256",418776000,142560,"11472900",0.81,0.19,16.05,2006,"HUNTER","burned","6",FALSE
"257",1925010000,352380,"11473900",0.86,0.14,9.51,2008,"YOLLA BOLLY COMPLEX (IRON)","burned","6",TRUE
"260",1943120000,295920,"11522500",0.69,0.31,11.23,2017,"ISLAND","burned","6",TRUE
"261",382936000,141720,"11523200",0.21,0.79,0,NA,NA,"unburned","6",TRUE
"262",58232700,61500,"11525530",0.81,0.19,0,NA,NA,"unburned","6",FALSE
"263",391934000,124320,"11526500",0.62,0.38,55.08,2006,"PIGEON","burned","6",FALSE
"264",190119000,86640,"12039300",0.33,0.67,0,NA,NA,"unburned","7",FALSE
"265",655797000,198600,"12041200",0.71,0.29,0,NA,NA,"unburned","7",TRUE
"267",513396000,151800,"12044900",0.33,0.67,2.11,2016,"HAYES TWO","unburned","6",FALSE
"268",405006000,136620,"12048000",0.49,0.51,0,NA,NA,"unburned","6",TRUE
"269",171675000,101820,"12054000",0.42,0.58,3.19,2011,"BIG HUMP","unburned","7",TRUE
"270",146971000,84014.5,"12056500",0.43,0.57,0,NA,NA,"unburned","7",TRUE
"271",198272000,116400,"12060500",0.88,0.12,0,NA,NA,"unburned","7",TRUE
"272",349998000,131340,"12082500",0.5,0.5,0,NA,NA,"unburned","6",TRUE
"273",198787000,92640,"12083000",0.84,0.16,0,NA,NA,"unburned","6",FALSE
"274",240881000,92220,"12092000",0.37,0.63,0,NA,NA,"unburned","6",TRUE
"275",205224000,107820,"12094000",0.52,0.48,0,NA,NA,"unburned","6",TRUE
"276",1142820000,220920,"12096500",0.76,0.24,0,NA,NA,"unburned","6",FALSE
"278",190191000,95820,"12097500",0.49,0.51,32.83,2017,"NORSE PEAK","burned","6",TRUE
"279",970373000,196500,"12097850",0.48,0.52,9.2,2017,"NORSE PEAK","burned","6",TRUE
"283",66555900,47760,"12114500",0.24,0.76,0,NA,NA,"unburned","6",TRUE
"284",102798000,45988.7,"12115000",0.32,0.68,0,NA,NA,"unburned","6",TRUE
"285",34718400,31140,"12115500",0.35,0.65,0,NA,NA,"unburned","6",TRUE
"286",13127400,21780,"12115700",0.5,0.5,0,NA,NA,"unburned","6",TRUE
"287",49754700,55200,"12135000",0.56,0.44,0,NA,NA,"unburned","6",FALSE
"288",30424500,31140,"12137290",0.27,0.73,0,NA,NA,"unburned","6",TRUE
"289",401510000,140160,"12141300",0.39,0.61,0,NA,NA,"unburned","6",TRUE
"290",165646000,77460,"12142000",0.47,0.53,0,NA,NA,"unburned","6",TRUE
"291",107896000,75480,"12143400",0.27,0.73,0,NA,NA,"unburned","6",TRUE
"292",165007000,105900,"12143600",0.37,0.63,0,NA,NA,"unburned","6",TRUE
"293",210106000,132780,"12144000",0.51,0.49,0,NA,NA,"unburned","6",TRUE
"294",102893000,74100,"12147500",0.64,0.36,0,NA,NA,"unburned","6",TRUE
"295",14126400,22140,"12147600",0.33,0.67,0,NA,NA,"unburned","6",TRUE
"297",683752000,204060,"12167000",0.75,0.25,0,NA,NA,"unburned","6",TRUE
"298",273821000,116880,"12175500",0.11,0.89,0,NA,NA,"unburned","6",TRUE
"300",69683400,49140,"12178100",0.19,0.81,5.21,2015,"GOODELL","burned","6",TRUE
"301",128331000,73500,"12179900",0.24,0.76,0,NA,NA,"unburned","6",TRUE
"302",444254000,136740,"12182500",0.25,0.75,2.74,2003,"MINERAL PARK","unburned","6",FALSE
"303",398435000,144900,"12186000",0.24,0.76,0,NA,NA,"unburned","6",TRUE
"304",1855320000,313800,"12189500",0.37,0.63,0,NA,NA,"unburned","6",TRUE
"305",27221400,36180,"12206900",0.53,0.47,0,NA,NA,"unburned","6",FALSE
"306",11315700,19860,"12207750",0.24,0.76,0,NA,NA,"unburned","6",FALSE
"307",48856500,39840,"12207850",0.25,0.75,0,NA,NA,"unburned","6",FALSE
"308",267669000,118560,"12209000",0.49,0.51,0,NA,NA,"unburned","6",FALSE
"309",58143600,54900,"12209490",0.44,0.56,0,NA,NA,"unburned","6",TRUE
"311",332127000,118380,"12210000",0.5,0.5,0,NA,NA,"unburned","6",FALSE
"312",1524800000,230559,"12210700",0.55,0.45,0,NA,NA,"unburned","6",FALSE
"313",29138400,33960,"12303100",0.25,0.75,0.51,2015,"GOAT ROCK COMPLEX","unburned","6",FALSE
"315",102406000,67260,"12323670",0.02,0.98,0,NA,NA,"unburned","6",FALSE
"316",35558100,33660,"12323710",0,1,0,NA,NA,"unburned","6",FALSE
"317",315148000,125400,"12332000",0.01,0.99,55.6,2017,"MEYERS","burned","6",TRUE
"319",828419000,159454,"12354000",0.3,0.7,0,2003,"CHERRY CREEK","unburned","6",FALSE
"320",2939190000,405782,"12358500",0.05,0.95,3.65,2007,"FOOL CREEK","unburned","6",TRUE
"321",2999680000,411060,"12359800",0.03,0.97,8.19,2015,"BEAR CREEK","burned","6",FALSE
"323",197099000,121740,"12369200",0.04,0.96,1.68,2003,"CRAZY HORSE","unburned","6",FALSE
"324",50789700,44640,"12374250",0.15,0.85,99.87,2007,"CHIPPY CREEK","burned","6",TRUE
"325",19722600,33060,"12375900",0.15,0.85,0,NA,NA,"unburned","6",TRUE
"326",32176800,31680,"12377150",0.11,0.89,0,NA,NA,"unburned","6",TRUE
"327",150944000,85200,"12381400",0.05,0.95,32.63,2017,"LIBERTY","burned","6",TRUE
"328",17670600,26220,"12383500",0.24,0.76,0,NA,NA,"unburned","6",TRUE
"329",41825700,43080,"12387450",0.32,0.68,0,NA,NA,"unburned","6",FALSE
"330",60840900,43260,"12388400",0.17,0.83,0,NA,NA,"unburned","6",TRUE
"331",470234000,146580,"12390700",0.45,0.55,0.02,2017,"CUB CREEK","unburned","6",TRUE
"332",326193000,92619,"12392155",0.18,0.82,10.8,2018,"COUGAR","burned","6",TRUE
"333",313983000,120900,"12392300",0.04,0.96,0,NA,NA,"unburned","6",FALSE
"334",867483000,149827,"12411000",0.32,0.68,4.08,2015,"LOWER FLAT","unburned","6",TRUE
"335",2325170000,246737,"12413000",0.45,0.55,1.91,2015,"SOUTH BOBTAIL","unburned","6",TRUE
"336",8971200,15840,"12413360",0.04,0.96,0,NA,NA,"unburned","6",FALSE
"337",275065000,91669.3,"12413875",0.01,0.99,0.15,2015,"HEATHER","unburned","6",TRUE
"338",2678970000,309660,"12414500",0.2,0.8,0.45,2015,"MARBLE CREEK","unburned","6",TRUE
"339",55748700,43440,"12416000",0.88,0.12,0,NA,NA,"unburned","6",FALSE
"340",157280000,87780,"12439300",0.2,0.8,8.83,2015,"9 MILE","burned","6",FALSE
"341",950657000,231240,"12447383",0.01,0.99,16.66,2017,"DIAMOND CREEK","burned","6",TRUE
"342",58101000,38056.2,"12447390",0,1,96.1,2003,"FAWN PEAK COMPLEX (FAREWELL)","burned","6",TRUE
"343",1357700000,260340,"12448000",0,1,25.41,2006,"TRIPOD COMPLEX (SPUR PEAK)","burned","6",TRUE
"344",2683630000,382860,"12448500",0,1,12.85,2006,"TRIPOD COMPLEX (SPUR PEAK)","burned","6",TRUE
"345",830597000,199320,"12451000",0.02,0.98,0.65,2001,"REX CREEK COMPLEX (GLORY MOUNTAIN)","unburned","6",TRUE
"346",526353000,177600,"12452800",0.03,0.97,18.47,2015,"WOLVERINE","burned","6",TRUE
"347",236201000,112500,"12452890",0.07,0.93,55.44,2018,"COUGAR CREEK","burned","6",FALSE
"349",445703000,157260,"12456500",0.1,0.9,3.81,2016,"BUCK CREEK","unburned","6",TRUE
"350",499367000,139020,"12458000",0.06,0.94,5.17,2001,"FOURTH OF JULY","burned","6",TRUE
"352",205170000,108480,"12488500",0.21,0.79,27.97,2017,"NORSE PEAK","burned","6",TRUE
"355",1222290000,332460,"13010065",0.04,0.96,0.4,2000,"SPRUCE COMPLEX (MOOSE)","unburned","6",TRUE
"356",404078000,176940,"13011500",0.02,0.98,6.16,2000,"TETON COMPLEX (ENOS)","burned","6",TRUE
"357",851798000,226260,"13011900",0,1,13.45,2012,"NORTH BUFFALO","burned","6",TRUE
"358",39544200,44880,"13016305",0,1,0,NA,NA,"unburned","6",TRUE
"359",27901500,23437.6,"13018300",0,1,0.1,2012,"HORSETHIEF CANYON","unburned","6",TRUE
"360",1161930000,302640,"13023000",0,1,2.7,2000,"BLIND TRAIL","unburned","6",TRUE
"361",220169000,119640,"13046680",0,1,5.16,2000,"SPRUCE COMPLEX (PLATEAU)","burned","6",FALSE
"362",835166000,229260,"13046995",0,1,1.36,2000,"SPRUCE COMPLEX (PLATEAU)","unburned","6",TRUE
"363",20172600,26040,"13077700",0,1,0,NA,NA,"unburned","10",FALSE
"364",133184000,77160,"13083000",0.39,0.61,0,2012,"CAVE CANYON","unburned","10",TRUE
"366",986130000,273720,"13161500",0.13,0.87,31.77,2007,"MURPHY COMPLEX","burned","10",TRUE
"367",76133700,53520,"13162225",0,1,0.01,2007,"MURPHY COMPLEX","unburned","10",TRUE
"368",2154390000,339360,"13185000",0.05,0.95,16.46,2012,"TRINITY RIDGE","burned","6",TRUE
"371",885313000,223980,"13216500",0.17,0.83,8.94,2002,"MONUMENT-MALHEUR COMPLEX (MONUMENT)","burned","6",FALSE
"372",1163230000,291840,"13235000",0.01,0.99,11.64,2016,"PIONEER","burned","6",TRUE
"373",874804000,250560,"13237920",0.1,0.9,16.52,2006,"RATTLESNAKE COMPLEX","burned","6",TRUE
"374",125570000,72600,"13240000",0,1,0.41,2015,"RAPID","unburned","6",TRUE
"375",403707000,145980,"13288200",0.02,0.98,14.54,2015,"EAGLE","burned","6",FALSE
"376",2090910000,421800,"13296500",0.01,0.99,15.29,2012,"HALSTEAD","burned","6",TRUE
"378",2696610000,417120,"13309220",0,1,14.75,2012,"HALSTEAD","burned","6",TRUE
"379",7450979999.99,676320,"13310199",0.06,0.94,14.38,2000,"DIAMOND COMPLEX (DIAMOND PEAK)","burned","6",TRUE
"380",853131000,232560,"13310700",0.08,0.92,41.92,2007,"CASCADE COMPLEX (MONUMENTAL)","burned","6",TRUE
"381",561936000,122644,"13313000",0,1,67.91,2007,"CASCADE COMPLEX (MONUMENTAL)","burned","6",TRUE
"383",618929000,233700,"13331500",0.28,0.72,3.79,2019,"GRANITE GULCH","unburned","6",TRUE
"384",269805000,101520,"13334450",0.64,0.36,0.18,2006,"COLUMBIA COMPLEX","unburned","6",FALSE
"385",441268000,140940,"13334700",0.72,0.28,0.11,2006,"COLUMBIA COMPLEX","unburned","10",FALSE
"386",3053420000,535860,"13337000",0.14,0.86,4.87,2007,"BRIDGE","unburned","6",TRUE
"387",3.027e+09,489360,"13338500",0.57,0.43,2.59,2012,"MCGUIRE COMPLEX","unburned","6",TRUE
"388",625491000,235140,"13339500",0.54,0.46,1.73,2015,"SNOWY SUMMIT","unburned","6",TRUE
"389",14268900000,1112220,"13340000",0.36,0.64,1.24,2012,"MUSTANG COMPLEX","unburned","6",TRUE
"391",3354620000,392340,"13340600",0.13,0.87,0.46,2015,"SNOWY SUMMIT","unburned","6",TRUE
"392",160086000,99060,"14010000",0.27,0.73,5.32,2005,"BURNT CABIN","burned","6",FALSE
"393",341426000,125640,"14020000",0.36,0.64,0,NA,NA,"unburned","6",TRUE
"394",456390000,172800,"14020300",0.31,0.69,3.92,2000,"MILEPOST 244","unburned","6",TRUE
"395",104307000,56040,"14036860",0.11,0.89,14.92,2002,"ROBERTS CREEK","burned","6",FALSE
"396",18237600,26100,"14037500",0,1,1.14,2015,"CANYON CREEK COMPLEX","unburned","6",FALSE
"398",52889400,55200,"14054500",0,1,0,NA,NA,"unburned","6",FALSE
"399",72085500,60900,"14090350",0.1,0.9,38.67,2003,"BB COMPLEX (BOOTH)","burned","6",TRUE
"400",60759000,50040,"14090400",0.21,0.79,36.85,2007,"WSA LIGHTNING COMPLEX (BIDDLE PASS)","burned","6",TRUE
"401",57480300,46680,"14092750",0.19,0.81,75.67,2012,"WATERFALLS 2","burned","6",TRUE
"402",194360000,127680,"14092885",0.74,0.26,44.41,2015,"COUNTY LINE 2","burned","6",FALSE
"403",277042000,110880,"14095500",0.47,0.53,3.79,2014,"LOGGING UNIT FIRES","unburned","6",TRUE
"404",68045400,60120,"14096300",0.19,0.81,12.08,2001,"DARK LAKE","burned","6",TRUE
"405",374618000,145440,"14096850",0.86,0.14,0,NA,NA,"unburned","6",TRUE
"406",1080380000,241920,"14101500",0.77,0.23,0.01,2006,"MT. HOOD COMPLEX","unburned","6",FALSE
"407",393754000,134100,"14107000",0.03,0.97,3.66,2009,"DISCOVERY","unburned","6",TRUE
"411",21539700,36960,"14134000",0.06,0.94,0,NA,NA,"unburned","6",FALSE
"412",625657000,146640,"14136500",0.69,0.31,0,NA,NA,"unburned","6",FALSE
"413",674239000,163920,"14137000",0.71,0.29,0,NA,NA,"unburned","6",TRUE
"414",21287700,29280,"14138800",0.8,0.2,0,NA,NA,"unburned","6",TRUE
"415",21682800,31920,"14138900",0.75,0.25,0,NA,NA,"unburned","6",TRUE
"416",669340000,149830,"14144800",0.55,0.45,8.83,2009,"TUMBLEBUG COMPLEX","burned","6",FALSE
"418",302650000,111480,"14146500",0.61,0.39,0,NA,NA,"unburned","6",FALSE
"419",640621000,240120,"14147500",0.66,0.34,0,NA,NA,"unburned","6",FALSE
"420",40571100,38340,"14158790",0.28,0.72,0,NA,NA,"unburned","6",TRUE
"421",414300000,145080,"14159200",0.64,0.36,8.84,2017,"REBEL","burned","6",TRUE
"422",118364000,67380,"14161100",0.84,0.16,0,NA,NA,"unburned","6",FALSE
"423",62424100,38740.5,"14161500",0.89,0.11,0,NA,NA,"unburned","6",TRUE
"424",272542000,126180,"14179000",0.54,0.46,3.32,2017,"SRZ LITTLE DEVIL","unburned","6",TRUE
"425",66646800,49440,"14180300",0.7,0.3,0,NA,NA,"unburned","6",TRUE
"426",35223300,36900,"14181750",0.85,0.15,0,NA,NA,"unburned","6",FALSE
"428",286848000,128520,"14182500",0.85,0.15,0.01,2011,"MOTHER LODE","unburned","6",TRUE
"429",458176000,139740,"14185000",0.86,0.14,0,NA,NA,"unburned","6",TRUE
"430",258196000,111840,"14185900",0.83,0.17,0,NA,NA,"unburned","6",TRUE
"431",252167000,105000,"14198500",0.88,0.12,0,NA,NA,"unburned","6",FALSE
"433",594622000,179520,"14216000",0.44,0.56,0.74,2012,"CASCADE CREEK","unburned","6",FALSE
"434",349524000,122640,"14216500",0.44,0.56,0,NA,NA,"unburned","6",TRUE
"435",167425000,96840,"14219000",0.88,0.12,0,NA,NA,"unburned","6",FALSE
"436",32778900,33420,"14219800",0.86,0.14,0,NA,NA,"unburned","6",TRUE
"437",1377960000,266520,"14231000",0.49,0.51,0,NA,NA,"unburned","6",TRUE
"438",825271000,214560,"14232500",0.4,0.6,0,NA,NA,"unburned","6",FALSE
"440",360993000,142260,"14236200",0.89,0.11,0,NA,NA,"unburned","6",TRUE
"441",78991200,49560,"14316495",0.73,0.27,80.8,2008,"RATTLE","burned","6",TRUE
"442",811444000,212160,"14328000",0.33,0.67,8.02,2015,"NATIONAL CREEK COMPLEX","burned","6",FALSE
"444",25462800,29160,"14353000",0.79,0.21,0,NA,NA,"unburned","6",FALSE
"445",20872800,30900,"14353500",0.85,0.15,0,NA,NA,"unburned","6",FALSE
"446",140061000,74280,"14372500",0.77,0.23,13.09,2018,"NATCHEZ","burned","6",FALSE
"447",104769000,73140,"402114105350101",0.07,0.93,9.84,2012,"FERN LAKE","burned","6",TRUE
"448",378453000,120900,"10245800",0.78,0.22,0,NA,NA,"unburned","10",FALSE
"449",596874000,168060,"06218500",0,1,8.21,2016,"LAVA MOUNTAIN","burned","6",TRUE
"450",793952000,218220,"06280300",0.03,0.97,13.21,2013,"HARDLUCK","burned","6",TRUE
"451",162986000,92400,"06632400",0,1,0,NA,NA,"unburned","6",TRUE
"452",398309000,166380,"09210500",0,1,14.02,2000,"FONTENELLE","burned","6",TRUE
"453",716423000,156740,"10308200",0.11,0.89,10.32,2015,"WASHINGTON","burned","6",TRUE
"454",237077000,114060,"14158500",0.13,0.87,8.52,2003,"BB COMPLEX (BOOTH)","burned","6",TRUE
